timestamp,venue,instant_dBA,LAeq_10s,LAeq_6min,light,projected_6min,timeToLimit_s,peakC_dB,violation,overload,yellow_limit,red_limit
2026-06-04T21:50:20.927-04:00,Memorial Hall,89.7,89.7,89.7,green,89.7,,100.89,0,0,90,95
2026-06-04T21:50:21.936-04:00,Memorial Hall,85.6,87.6,87.6,green,87.6,,97.6,0,0,90,95
2026-06-04T21:50:22.945-04:00,Memorial Hall,89.6,88.0,88.0,green,88.0,,99.22,0,0,90,95
2026-06-04T21:50:23.954-04:00,Memorial Hall,86.9,87.8,87.8,green,87.8,,98.43,0,0,90,95
2026-06-04T21:50:24.964-04:00,Memorial Hall,90.7,88.0,88.0,green,88.0,,103.63,0,0,90,95
2026-06-04T21:50:25.972-04:00,Memorial Hall,88.2,87.9,87.9,green,87.9,,97.4,0,0,90,95
2026-06-04T21:50:26.981-04:00,Memorial Hall,88.3,87.9,87.9,green,87.9,,99.79,0,0,90,95
2026-06-04T21:50:27.991-04:00,Memorial Hall,86.4,88.0,88.0,green,88.0,,98.62,0,0,90,95
2026-06-04T21:50:28.999-04:00,Memorial Hall,87.8,87.9,87.9,green,87.9,,100.94,0,0,90,95
2026-06-04T21:50:30.008-04:00,Memorial Hall,85.0,87.8,87.8,green,87.8,,98.47,0,0,90,95
2026-06-04T21:50:31.017-04:00,Memorial Hall,88.3,87.7,87.8,green,87.8,,98.44,0,0,90,95
2026-06-04T21:50:32.025-04:00,Memorial Hall,87.4,87.8,87.8,green,87.8,,96.99,0,0,90,95
2026-06-04T21:50:33.035-04:00,Memorial Hall,87.5,87.7,87.8,green,87.8,,97.42,0,0,90,95
2026-06-04T21:50:34.044-04:00,Memorial Hall,90.2,87.9,87.9,green,87.9,,101.91,0,0,90,95
2026-06-04T21:50:35.053-04:00,Memorial Hall,88.9,87.8,87.9,green,87.9,,104.4,0,0,90,95
2026-06-04T21:50:36.062-04:00,Memorial Hall,88.4,87.9,87.9,green,87.9,,103.13,0,0,90,95
2026-06-04T21:50:37.070-04:00,Memorial Hall,88.5,87.8,87.8,green,87.8,,98.88,0,0,90,95
2026-06-04T21:50:38.080-04:00,Memorial Hall,88.5,87.7,87.9,green,87.8,,97.32,0,0,90,95
2026-06-04T21:50:39.091-04:00,Memorial Hall,89.5,87.7,87.8,green,87.8,,102.8,0,0,90,95
2026-06-04T21:50:40.101-04:00,Memorial Hall,84.8,87.7,87.8,green,87.8,,95.21,0,0,90,95
2026-06-04T21:50:41.112-04:00,Memorial Hall,85.5,87.7,87.7,green,87.7,,99.93,0,0,90,95
2026-06-04T21:50:42.123-04:00,Memorial Hall,86.2,87.5,87.7,green,87.6,,95.34,0,0,90,95
2026-06-04T21:50:43.134-04:00,Memorial Hall,87.7,87.4,87.6,green,87.6,,97.67,0,0,90,95
2026-06-04T21:50:44.144-04:00,Memorial Hall,84.8,87.1,87.5,green,87.5,,95.17,0,0,90,95
2026-06-04T21:50:45.155-04:00,Memorial Hall,81.9,87.0,87.5,green,87.4,,94.92,0,0,90,95
2026-06-04T21:50:46.166-04:00,Memorial Hall,85.6,86.7,87.4,green,87.3,,99.86,0,0,90,95
2026-06-04T21:50:47.177-04:00,Memorial Hall,83.7,86.5,87.4,green,87.2,,95.14,0,0,90,95
2026-06-04T21:50:48.186-04:00,Memorial Hall,82.1,86.1,87.3,green,87.1,,93.03,0,0,90,95
2026-06-04T21:50:49.196-04:00,Memorial Hall,86.3,85.9,87.2,green,87.0,,101.28,0,0,90,95
2026-06-04T21:50:50.207-04:00,Memorial Hall,87.4,85.8,87.2,green,87.0,,98.61,0,0,90,95
2026-06-04T21:50:51.216-04:00,Memorial Hall,85.7,85.6,87.1,green,86.9,,100.01,0,0,90,95
2026-06-04T21:50:52.227-04:00,Memorial Hall,85.4,85.5,87.1,green,86.8,,95.73,0,0,90,95
2026-06-04T21:50:53.237-04:00,Memorial Hall,87.0,85.3,87.0,green,86.8,,98.37,0,0,90,95
2026-06-04T21:50:54.245-04:00,Memorial Hall,83.6,85.1,86.9,green,86.7,,94.98,0,0,90,95
2026-06-04T21:50:55.256-04:00,Memorial Hall,83.0,84.7,86.9,green,86.6,,92.28,0,0,90,95
2026-06-04T21:50:56.265-04:00,Memorial Hall,83.1,84.6,86.8,green,86.5,,93.36,0,0,90,95
2026-06-04T21:50:57.274-04:00,Memorial Hall,81.8,84.5,86.7,green,86.4,,92.54,0,0,90,95
2026-06-04T21:50:58.284-04:00,Memorial Hall,82.4,84.4,86.7,green,86.4,,96.05,0,0,90,95
2026-06-04T21:50:59.293-04:00,Memorial Hall,84.0,84.2,86.6,green,86.3,,95.84,0,0,90,95
2026-06-04T21:51:00.302-04:00,Memorial Hall,84.2,83.9,86.6,green,86.2,,96.53,0,0,90,95
2026-06-04T21:51:01.312-04:00,Memorial Hall,83.2,83.7,86.5,green,86.1,,93.26,0,0,90,95
2026-06-04T21:51:02.321-04:00,Memorial Hall,81.2,83.5,86.4,green,86.1,,95.19,0,0,90,95
2026-06-04T21:51:03.329-04:00,Memorial Hall,80.6,83.3,86.4,green,86.0,,96.92,0,0,90,95
2026-06-04T21:51:04.338-04:00,Memorial Hall,81.7,83.1,86.3,green,85.9,,96.92,0,0,90,95
2026-06-04T21:51:05.348-04:00,Memorial Hall,85.1,83.0,86.2,green,85.8,,97.0,0,0,90,95
2026-06-04T21:51:06.358-04:00,Memorial Hall,79.4,82.7,86.2,green,85.8,,91.25,0,0,90,95
2026-06-04T21:51:07.368-04:00,Memorial Hall,82.5,82.7,86.1,green,85.7,,93.81,0,0,90,95
2026-06-04T21:51:08.379-04:00,Memorial Hall,81.3,82.5,86.1,green,85.6,,91.49,0,0,90,95
