timestamp,venue,FS Peak,Peak C,SPL Fast,SPL A Fast,SPL C Fast,SPL Slow,SPL A Slow,SPL C Slow,Leq 1,LAeq 1,LCeq 1,LAeq 1s,LAeq 3,LAeq 6,LAeq 10s,LCeq 3,LCeq 10s,Leq 10s C-A,Exposure O,Exposure N,LAeq_10s_computed,light,violation,overload,yellow_limit,red_limit
2026-06-15T15:32:16.066-04:00,Fountain Square,-51.14,96.36,84.98,83.58,87.09,85.32,83.92,87.42,,,,,,,,,,,,,83.9,yellow,0,0,80,90
2026-06-15T15:32:17.077-04:00,Fountain Square,-51.45,93.21,84.28,82.88,87.1,84.69,83.29,86.79,,,,,,,,,,,,,83.4,yellow,0,0,80,90
2026-06-15T15:32:18.088-04:00,Fountain Square,-51.72,96.68,83.68,82.28,86.65,84.07,82.67,86.17,,,,,,,,,,,,,83.1,yellow,0,0,80,90
2026-06-15T15:32:19.098-04:00,Fountain Square,-51.24,94.83,84.76,83.36,85.97,84.41,83.01,86.51,,,,,,,,,,,,,83.1,yellow,0,0,80,90
2026-06-15T15:32:20.110-04:00,Fountain Square,-51.94,96.5,83.2,81.8,86.29,83.69,82.29,85.79,,,,,,,,,,,,,82.9,yellow,0,0,80,90
2026-06-15T15:32:21.123-04:00,Fountain Square,-51.04,94.89,85.2,83.8,86.75,83.6,82.2,85.7,,,,,,,,,,,,,82.8,yellow,0,0,80,90
2026-06-15T15:32:22.136-04:00,Fountain Square,-51.96,93.67,83.17,81.77,85.17,83.55,82.15,85.65,,,,,,,,,,,,,82.7,yellow,0,0,80,90
2026-06-15T15:32:23.148-04:00,Fountain Square,-52.1,92.55,82.85,81.45,84.77,83.03,81.63,85.13,,,,,,,,,,,,,82.6,yellow,0,0,80,90
2026-06-15T15:32:24.160-04:00,Fountain Square,-53.02,89.84,80.8,79.4,82.2,82.82,81.42,84.92,,,,,,,,,,,,,82.5,yellow,0,0,80,90
2026-06-15T15:32:25.173-04:00,Fountain Square,-52.76,94.42,81.38,79.98,82.82,82.3,80.9,84.4,,,,,,,,,,,,,82.4,yellow,0,0,80,90
2026-06-15T15:32:26.183-04:00,Fountain Square,-51.91,93.49,83.28,81.88,85.44,83.15,81.75,85.25,,,,,,,,,,,,,82.3,yellow,0,0,80,90
2026-06-15T15:32:27.196-04:00,Fountain Square,-52.46,92.49,82.03,80.63,84.12,82.22,80.82,84.32,,,,,,,,,,,,,82.1,yellow,0,0,80,90
2026-06-15T15:32:28.207-04:00,Fountain Square,-53.43,89.17,79.88,78.48,81.83,80.98,79.58,83.08,,,,,,,,,,,,,81.8,yellow,0,0,80,90
2026-06-15T15:32:29.219-04:00,Fountain Square,-52.73,91.58,81.45,80.05,83.17,80.77,79.37,82.87,,,,,,,,,,,,,81.5,yellow,0,0,80,90
2026-06-15T15:32:30.230-04:00,Fountain Square,-51.92,90.63,83.25,81.85,84.54,82.01,80.61,84.11,,,,,,,,,,,,,81.3,yellow,0,0,80,90
2026-06-15T15:32:31.242-04:00,Fountain Square,-53.37,92.07,80.03,78.63,82.83,81.8,80.4,83.9,,,,,,,,,,,,,81.1,yellow,0,0,80,90
2026-06-15T15:32:32.254-04:00,Fountain Square,-51.91,93.58,83.26,81.86,85.1,82.03,80.63,84.13,,,,,,,,,,,,,81.0,yellow,0,0,80,90
2026-06-15T15:32:33.265-04:00,Fountain Square,-52.15,93.95,82.73,81.33,85.39,81.74,80.34,83.84,,,,,,,,,,,,,80.8,yellow,0,0,80,90
2026-06-15T15:32:34.277-04:00,Fountain Square,-51.89,93.05,83.31,81.91,84.81,82.02,80.62,84.12,,,,,,,,,,,,,80.6,yellow,0,0,80,90
2026-06-15T15:32:35.291-04:00,Fountain Square,-51.44,96.79,84.32,82.92,86.04,82.84,81.44,84.94,,,,,,,,,,,,,80.6,yellow,0,0,80,90
2026-06-15T15:32:36.304-04:00,Fountain Square,-53.11,89.29,80.61,79.21,82.63,82.26,80.86,84.36,,,,,,,,,,,,,80.5,yellow,0,0,80,90
2026-06-15T15:32:37.316-04:00,Fountain Square,-53.11,92.29,80.6,79.2,81.76,81.49,80.09,83.59,,,,,,,,,,,,,80.4,yellow,0,0,80,90
2026-06-15T15:32:38.329-04:00,Fountain Square,-51.56,96.53,84.04,82.64,86.05,83.55,82.15,85.65,,,,,,,,,,,,,80.5,yellow,0,0,80,90
2026-06-15T15:32:39.341-04:00,Fountain Square,-52.66,89.38,81.6,80.2,82.79,82.1,80.7,84.2,,,,,,,,,,,,,80.7,yellow,0,0,80,90
