timestamp,venue,FS Peak,Peak C,SPL Fast,SPL A Fast,SPL C Fast,SPL Slow,SPL A Slow,SPL C Slow,Leq 1,LAeq 1,LCeq 1,LAeq 1s,LAeq 3,LAeq 6,LAeq 10s,LCeq 3,LCeq 10s,Leq 10s C-A,Exposure O,Exposure N,LAeq_10s_computed,light,violation,overload,yellow_limit,red_limit
2026-06-15T13:14:50.221-04:00,Fountain Square,-51.14,93.35,84.98,83.58,86.24,85.33,83.93,87.43,,,,,,,,,,,,,83.9,yellow,0,0,80,90
2026-06-15T13:14:51.232-04:00,Fountain Square,-51.89,91.28,83.31,81.91,85.16,84.11,82.71,86.21,,,,,,,,,,,,,83.2,yellow,0,0,80,90
2026-06-15T13:14:52.243-04:00,Fountain Square,-49.45,98.02,88.72,87.32,90.5,85.11,83.71,87.21,,,,,,,,,,,,,83.1,yellow,0,0,80,90
2026-06-15T13:14:53.256-04:00,Fountain Square,-51.3,93.12,84.61,83.21,85.8,84.08,82.68,86.18,,,,,,,,,,,,,83.0,yellow,0,0,80,90
2026-06-15T13:14:54.269-04:00,Fountain Square,-51.48,97.49,84.22,82.82,86.31,83.06,81.66,85.16,,,,,,,,,,,,,82.8,yellow,0,0,80,90
2026-06-15T13:14:55.281-04:00,Fountain Square,-54.09,91.01,78.41,77.01,80.16,82.62,81.22,84.72,,,,,,,,,,,,,82.5,yellow,0,0,80,90
2026-06-15T13:14:56.293-04:00,Fountain Square,-52.87,92.18,81.14,79.74,83.92,82.39,80.99,84.49,,,,,,,,,,,,,82.3,yellow,0,0,80,90
2026-06-15T13:14:57.304-04:00,Fountain Square,-51.55,95.54,84.06,82.66,85.95,82.53,81.13,84.63,,,,,,,,,,,,,82.2,yellow,0,0,80,90
2026-06-15T13:14:58.317-04:00,Fountain Square,-51.34,92.39,84.53,83.13,86.3,83.14,81.74,85.24,,,,,,,,,,,,,82.1,yellow,0,0,80,90
2026-06-15T13:14:59.330-04:00,Fountain Square,-52.56,93.85,81.83,80.43,83.89,82.2,80.8,84.3,,,,,,,,,,,,,82.0,yellow,0,0,80,90
2026-06-15T13:15:00.343-04:00,Fountain Square,-51.77,92.07,83.59,82.19,85.92,82.32,80.92,84.42,,,,,,,,,,,,,81.9,yellow,0,0,80,90
2026-06-15T13:15:01.354-04:00,Fountain Square,-51.44,96.05,84.31,82.91,86.83,82.12,80.72,84.22,,,,,,,,,,,,,81.6,yellow,0,0,80,90
2026-06-15T13:15:02.366-04:00,Fountain Square,-51.86,95.23,83.38,81.98,86.35,83.03,81.63,85.13,,,,,,,,,,,,,81.4,yellow,0,0,80,90
2026-06-15T13:15:03.378-04:00,Fountain Square,-52.78,94.35,81.34,79.94,82.62,82.08,80.68,84.18,,,,,,,,,,,,,81.2,yellow,0,0,80,90
2026-06-15T13:15:04.389-04:00,Fountain Square,-51.67,97.27,83.81,82.41,85.33,82.8,81.4,84.9,,,,,,,,,,,,,81.1,yellow,0,0,80,90
2026-06-15T13:15:05.401-04:00,Fountain Square,-52.67,91.15,81.59,80.19,83.38,81.54,80.14,83.64,,,,,,,,,,,,,81.0,yellow,0,0,80,90
2026-06-15T13:15:06.413-04:00,Fountain Square,-52.43,93.43,82.11,80.71,84.03,81.73,80.33,83.83,,,,,,,,,,,,,80.9,yellow,0,0,80,90
2026-06-15T13:15:07.426-04:00,Fountain Square,-52.38,93.02,82.23,80.83,84.97,82.83,81.43,84.93,,,,,,,,,,,,,80.9,yellow,0,0,80,90
2026-06-15T13:15:08.437-04:00,Fountain Square,-52.83,94.37,81.23,79.83,83.57,81.36,79.96,83.46,,,,,,,,,,,,,80.8,yellow,0,0,80,90
2026-06-15T13:15:09.451-04:00,Fountain Square,-52.07,93.06,82.91,81.51,85.42,80.71,79.31,82.81,,,,,,,,,,,,,80.6,yellow,0,0,80,90
2026-06-15T13:15:10.462-04:00,Fountain Square,-53.17,94.12,80.46,79.06,82.26,81.06,79.66,83.16,,,,,,,,,,,,,80.5,yellow,0,0,80,90
2026-06-15T13:15:11.473-04:00,Fountain Square,-53.49,91.93,79.76,78.36,81.1,82.18,80.78,84.28,,,,,,,,,,,,,80.5,yellow,0,0,80,90
2026-06-15T13:15:12.485-04:00,Fountain Square,-52.19,92.46,82.64,81.24,84.75,82.34,80.94,84.44,,,,,,,,,,,,,80.5,yellow,0,0,80,90
2026-06-15T13:15:13.496-04:00,Fountain Square,-52.16,92.96,82.7,81.3,84.44,83.55,82.15,85.65,,,,,,,,,,,,,80.6,yellow,0,0,80,90
