timestamp,venue,instant_dBA,LAeq_10s,LAeq_6min,light,projected_6min,timeToLimit_s,peakC_dB,violation,overload,yellow_limit,red_limit
2026-06-05T21:50:41.630-04:00,Fountain Square,72.6,72.6,79.7,green,79.1,,88.6,0,0,88,90
2026-06-05T21:50:44.634-04:00,Fountain Square,73.8,73.3,79.6,green,79.0,,86.41,0,0,88,90
2026-06-05T21:50:47.627-04:00,Fountain Square,73.6,73.4,79.6,green,79.0,,89.11,0,0,88,90
2026-06-05T21:50:50.633-04:00,Fountain Square,72.7,73.2,79.5,green,78.9,,91.88,0,0,88,90
2026-06-05T21:50:53.647-04:00,Fountain Square,70.3,72.8,79.5,green,78.9,,93.41,0,0,88,90
2026-06-05T21:50:56.627-04:00,Fountain Square,72.0,72.3,79.4,green,78.8,,89.42,0,0,88,90
2026-06-05T21:50:59.641-04:00,Fountain Square,71.5,71.7,79.4,green,78.7,,88.5,0,0,88,90
2026-06-05T21:51:02.634-04:00,Fountain Square,72.9,71.8,79.3,green,78.7,,88.23,0,0,88,90
2026-06-05T21:51:05.637-04:00,Fountain Square,72.2,72.2,79.3,green,78.7,,92.27,0,0,88,90
2026-06-05T21:51:08.631-04:00,Fountain Square,71.3,72.0,79.2,green,78.6,,90.1,0,0,88,90
2026-06-05T21:51:11.645-04:00,Fountain Square,72.9,72.4,79.2,green,78.5,,86.86,0,0,88,90
2026-06-05T21:51:14.629-04:00,Fountain Square,70.1,71.8,79.1,green,78.4,,87.45,0,0,88,90
2026-06-05T21:51:17.632-04:00,Fountain Square,70.5,71.4,79.0,green,78.3,,90.81,0,0,88,90
2026-06-05T21:51:20.645-04:00,Fountain Square,73.4,72.0,78.8,green,78.2,,88.56,0,0,88,90
2026-06-05T21:51:23.637-04:00,Fountain Square,73.6,72.2,78.8,green,78.2,,89.03,0,0,88,90
2026-06-05T21:51:26.642-04:00,Fountain Square,75.1,73.4,78.7,green,78.2,,93.78,0,0,88,90
2026-06-05T21:51:29.635-04:00,Fountain Square,73.9,74.0,78.7,green,78.2,,94.11,0,0,88,90
2026-06-05T21:51:32.640-04:00,Fountain Square,73.6,74.1,78.6,green,78.1,,93.48,0,0,88,90
2026-06-05T21:51:35.633-04:00,Fountain Square,71.2,73.6,78.6,green,78.0,,87.92,0,0,88,90
2026-06-05T21:51:38.647-04:00,Fountain Square,72.8,73.0,78.5,green,78.0,,89.6,0,0,88,90
2026-06-05T21:51:41.630-04:00,Fountain Square,77.7,74.5,78.5,green,78.0,,97.76,0,0,88,90
