timestamp,venue,instant_dBA,LAeq_10s,LAeq_6min,light,projected_6min,timeToLimit_s,peakC_dB,violation,overload,yellow_limit,red_limit
2026-06-05T21:37:35.630-04:00,Fountain Square,81.0,81.0,80.5,green,80.6,,94.21,0,0,88,90
2026-06-05T21:37:38.633-04:00,Fountain Square,79.8,80.4,80.4,green,80.4,,96.75,0,0,88,90
2026-06-05T21:37:41.647-04:00,Fountain Square,79.8,80.2,80.3,green,80.3,,98.82,0,0,88,90
2026-06-05T21:37:44.641-04:00,Fountain Square,83.8,81.4,80.3,green,80.5,,95.58,0,0,88,90
2026-06-05T21:37:47.645-04:00,Fountain Square,85.4,82.9,80.3,green,80.9,,97.34,0,0,88,90
2026-06-05T21:37:50.638-04:00,Fountain Square,81.2,83.1,80.3,green,80.9,,101.41,0,0,88,90
2026-06-05T21:37:54.649-04:00,Fountain Square,80.0,84.5,80.3,green,81.3,,99.88,0,0,88,90
2026-06-05T21:37:55.626-04:00,Fountain Square,86.0,84.0,80.3,green,81.2,,100.19,0,0,88,90
2026-06-05T21:37:56.770-04:00,Fountain Square,82.7,83.8,80.3,green,81.1,,99.31,0,0,88,90
2026-06-05T21:37:57.652-04:00,Fountain Square,86.9,84.0,80.3,green,81.2,,107.2,0,0,88,90
2026-06-05T21:37:59.647-04:00,Fountain Square,81.3,83.8,80.3,green,81.1,,94.13,0,0,88,90
2026-06-05T21:38:02.629-04:00,Fountain Square,81.2,83.5,80.2,green,81.0,,99.62,0,0,88,90
2026-06-05T21:38:05.642-04:00,Fountain Square,80.3,83.4,80.3,green,81.0,,92.39,0,0,88,90
2026-06-05T21:38:08.635-04:00,Fountain Square,75.2,80.1,80.2,green,80.2,,84.48,0,0,88,90
2026-06-05T21:38:11.638-04:00,Fountain Square,71.4,78.6,80.2,green,79.9,,84.27,0,0,88,90
2026-06-05T21:38:14.641-04:00,Fountain Square,69.7,76.1,80.1,green,79.7,,86.28,0,0,88,90
