timestamp,venue,FS Peak,Peak C,SPL Fast,SPL A Fast,SPL C Fast,SPL Slow,SPL A Slow,SPL C Slow,Leq 1,LAeq 1,LCeq 1,LAeq 1s,LAeq 3,LAeq 6,LAeq 10s,LCeq 3,LCeq 10s,Leq 10s C-A,Exposure O,Exposure N,LAeq_10s_computed,sub63_10s,sub63_1min,light,violation,overload,yellow_limit,red_limit
2026-07-10T18:58:20.357-04:00,Fountain Square,-56.79,82.26,72.41,71.01,74.2,74.86,73.46,76.96,,,,,,,,,,,,,73.5,68.7,69.5,green,0,0,80,90
2026-07-10T18:58:21.372-04:00,Fountain Square,-55.34,84.63,75.65,74.25,77.91,73.87,72.47,75.97,,,,,,,,,,,,,72.7,71.6,68.5,green,0,0,80,90
2026-07-10T18:58:22.384-04:00,Fountain Square,-56.58,87.01,72.89,71.49,75.8,73.06,71.66,75.16,,,,,,,,,,,,,72.2,68.0,67.7,green,0,0,80,90
2026-07-10T18:58:23.394-04:00,Fountain Square,-56.52,86.09,73.03,71.63,74.46,72.89,71.49,74.99,,,,,,,,,,,,,72.0,69.5,67.5,green,0,0,80,90
2026-07-10T18:58:24.409-04:00,Fountain Square,-56.51,83.11,73.05,71.65,74.28,72.78,71.38,74.88,,,,,,,,,,,,,71.9,66.9,67.4,green,0,0,80,90
2026-07-10T18:58:25.422-04:00,Fountain Square,-56.9,85.74,72.19,70.79,75.04,72.44,71.04,74.54,,,,,,,,,,,,,71.8,65.6,67.0,green,0,0,80,90
2026-07-10T18:58:26.435-04:00,Fountain Square,-57.04,82.13,71.86,70.46,74.47,72.82,71.42,74.92,,,,,,,,,,,,,71.7,68.0,67.4,green,0,0,80,90
2026-07-10T18:58:27.446-04:00,Fountain Square,-56.38,83.54,73.32,71.92,74.62,73.19,71.79,75.29,,,,,,,,,,,,,71.7,68.6,67.8,green,0,0,80,90
2026-07-10T18:58:28.459-04:00,Fountain Square,-55.19,88.84,75.97,74.57,78.81,73.77,72.37,75.87,,,,,,,,,,,,,71.8,69.1,68.4,green,0,0,80,90
2026-07-10T18:58:29.473-04:00,Fountain Square,-57.05,80.55,71.85,70.45,74.23,73.12,71.72,75.22,,,,,,,,,,,,,71.8,67.5,67.7,green,0,0,80,90
2026-07-10T18:58:30.486-04:00,Fountain Square,-55.37,86.3,75.57,74.17,76.92,74.14,72.74,76.24,,,,,,,,,,,,,71.8,70.4,68.7,green,0,0,80,90
2026-07-10T18:58:31.498-04:00,Fountain Square,-55.05,86.46,76.29,74.89,78.5,74.79,73.39,76.89,,,,,,,,,,,,,71.9,74.1,69.4,green,0,0,80,90
2026-07-10T18:58:32.512-04:00,Fountain Square,-56.82,80.43,72.35,70.95,73.47,74.06,72.66,76.16,,,,,,,,,,,,,72.0,71.2,68.7,green,0,0,80,90
2026-07-10T18:58:33.525-04:00,Fountain Square,-55.74,88.41,74.76,73.36,77.08,74.57,73.17,76.67,,,,,,,,,,,,,72.2,73.9,69.2,green,0,0,80,90
2026-07-10T18:58:34.537-04:00,Fountain Square,-55.47,85.59,75.34,73.94,77.94,75.05,73.65,77.15,,,,,,,,,,,,,72.4,73.8,69.7,green,0,0,80,90
2026-07-10T18:58:35.552-04:00,Fountain Square,-56.67,82.25,72.69,71.29,74.51,74.89,73.49,76.99,,,,,,,,,,,,,72.7,72.6,69.5,green,0,0,80,90
2026-07-10T18:58:36.567-04:00,Fountain Square,-54.85,87.29,76.72,75.32,77.97,74.88,73.48,76.98,,,,,,,,,,,,,72.9,72.6,69.5,green,0,0,80,90
2026-07-10T18:58:37.584-04:00,Fountain Square,-55.35,84.92,75.62,74.22,78.08,74.89,73.49,76.99,,,,,,,,,,,,,73.0,73.9,69.5,green,0,0,80,90
